year,oil_price_global,gas_price_global,coal_price_global
1991,20.01,25.5,42.5
1992,19.31,24.0,44.0
1993,17.04,22.5,41.5
1994,15.84,23.0,42.0
1995,17.04,24.5,43.5
1996,20.64,26.0,45.0
1997,19.12,27.5,42.5
1998,12.78,25.0,38.0
1999,17.85,26.5,36.0
2000,28.52,42.5,38.5
2001,24.45,38.0,42.0
2002,24.96,32.5,45.5
2003,28.88,38.5,52.0
2004,38.23,45.0,78.5
2005,54.42,55.5,92.5
2006,65.14,72.5,88.0
2007,72.47,65.0,95.5
2008,97.01,95.0,128.5
2009,61.49,58.0,82.0
2010,79.51,65.5,98.5
2011,111.26,85.5,125.5
2012,111.65,95.0,112.5
2013,108.64,88.0,99.0
2014,99.02,82.5,92.0
2015,52.35,68.5,78.5
2016,43.55,55.0,85.0
2017,54.25,63.5,96.5
2018,71.06,73.5,107.5
2019,64.27,62.5,92.0
2020,41.76,38.5,78.5
2021,70.68,92.0,138.5
2022,100.78,145.0,265.0
